fixture_id,unresolved_players,player_fixture_pairs,max_priority,total_priority,information_value_score
1485366,1,2,7.0,14.0,14.0
1485861,1,2,7.0,14.0,14.0
1486807,1,2,7.0,14.0,14.0
1488830,1,2,7.0,14.0,14.0
1495627,1,2,7.0,14.0,14.0
1505593,1,2,7.0,14.0,14.0
1505605,1,2,7.0,14.0,14.0
1505611,1,2,7.0,14.0,14.0
1537081,1,2,7.0,14.0,14.0
1537088,1,2,7.0,14.0,14.0
1537092,1,2,7.0,14.0,14.0
1537094,1,2,7.0,14.0,14.0
1537098,1,2,7.0,14.0,14.0
1537108,1,2,7.0,14.0,14.0
1384111,1,2,6.5,13.0,13.0
1384133,1,2,6.5,13.0,13.0
1384140,1,2,6.5,13.0,13.0
1384145,1,2,6.5,13.0,13.0
1384163,1,2,6.5,13.0,13.0
1388041,1,2,6.5,13.0,13.0
1389594,1,2,6.5,13.0,13.0
1389652,1,2,6.5,13.0,13.0
1393730,1,2,6.5,13.0,13.0
1393732,1,2,6.5,13.0,13.0
1393737,1,2,6.5,13.0,13.0
1393738,1,2,6.5,13.0,13.0
1393741,1,2,6.5,13.0,13.0
1393745,1,2,6.5,13.0,13.0
1393749,1,2,6.5,13.0,13.0
1393750,1,2,6.5,13.0,13.0
1393752,1,2,6.5,13.0,13.0
1393753,1,2,6.5,13.0,13.0
1393757,1,2,6.5,13.0,13.0
1393764,1,2,6.5,13.0,13.0
1393771,1,2,6.5,13.0,13.0
1393772,1,2,6.5,13.0,13.0
1393782,1,2,6.5,13.0,13.0
1393790,1,2,6.5,13.0,13.0
1393792,1,2,6.5,13.0,13.0
1394076,1,2,6.5,13.0,13.0
1394084,1,2,6.5,13.0,13.0
1394096,1,2,6.5,13.0,13.0
1394111,1,2,6.5,13.0,13.0
1394115,1,2,6.5,13.0,13.0
1394127,1,2,6.5,13.0,13.0
1394165,1,2,6.5,13.0,13.0
1394176,1,2,6.5,13.0,13.0
1394389,1,2,6.5,13.0,13.0
1394400,1,2,6.5,13.0,13.0
1394409,1,2,6.5,13.0,13.0
1405447,1,2,6.5,13.0,13.0
1405451,1,2,6.5,13.0,13.0
1405458,1,2,6.5,13.0,13.0
1405461,1,2,6.5,13.0,13.0
1410019,1,2,6.5,13.0,13.0
1410049,1,2,6.5,13.0,13.0
1410072,1,2,6.5,13.0,13.0
1410075,1,2,6.5,13.0,13.0
1415590,1,2,6.5,13.0,13.0
1415607,1,2,6.5,13.0,13.0
1415614,1,2,6.5,13.0,13.0
1415620,1,2,6.5,13.0,13.0
1415626,1,2,6.5,13.0,13.0
1415630,1,2,6.5,13.0,13.0
1415644,1,2,6.5,13.0,13.0
1415657,1,2,6.5,13.0,13.0
1415679,1,2,6.5,13.0,13.0
1415692,1,2,6.5,13.0,13.0
1415695,1,2,6.5,13.0,13.0
1415701,1,2,6.5,13.0,13.0
1415717,1,2,6.5,13.0,13.0
1415721,1,2,6.5,13.0,13.0
1415916,1,2,6.5,13.0,13.0
1415918,1,2,6.5,13.0,13.0
1415921,1,2,6.5,13.0,13.0
1415923,1,2,6.5,13.0,13.0
1415924,1,2,6.5,13.0,13.0
1415926,1,2,6.5,13.0,13.0
1415927,1,2,6.5,13.0,13.0
1419568,1,2,6.5,13.0,13.0
1421175,1,2,6.5,13.0,13.0
1421202,1,2,6.5,13.0,13.0
1435928,1,2,6.5,13.0,13.0
1435937,1,2,6.5,13.0,13.0
1435943,1,2,6.5,13.0,13.0
1435949,1,2,6.5,13.0,13.0
1435960,1,2,6.5,13.0,13.0
1436778,1,2,6.5,13.0,13.0
1436780,1,2,6.5,13.0,13.0
1436783,1,2,6.5,13.0,13.0
1437227,1,2,6.5,13.0,13.0
1446896,1,2,6.5,13.0,13.0
1446900,1,2,6.5,13.0,13.0
1446902,1,2,6.5,13.0,13.0
1446903,1,2,6.5,13.0,13.0
1446906,1,2,6.5,13.0,13.0
1446918,1,2,6.5,13.0,13.0
1446919,1,2,6.5,13.0,13.0
1446923,1,2,6.5,13.0,13.0
1446925,1,2,6.5,13.0,13.0
1451486,1,2,6.5,13.0,13.0
1451495,1,2,6.5,13.0,13.0
1451617,1,2,6.5,13.0,13.0
1485354,1,2,6.5,13.0,13.0
1489326,1,2,6.5,13.0,13.0
1489334,1,2,6.5,13.0,13.0
1491601,1,2,6.5,13.0,13.0
1491607,1,2,6.5,13.0,13.0
1505602,1,2,6.5,13.0,13.0
1505608,1,2,6.5,13.0,13.0
1505609,1,2,6.5,13.0,13.0
1505614,1,2,6.5,13.0,13.0
1528518,1,2,6.5,13.0,13.0
1528526,1,2,6.5,13.0,13.0
1528532,1,2,6.5,13.0,13.0
1537392,1,2,6.5,13.0,13.0
1537399,1,2,6.5,13.0,13.0
1537625,1,2,6.5,13.0,13.0
1540727,1,2,6.5,13.0,13.0
1540975,1,2,6.5,13.0,13.0
1540978,1,2,6.5,13.0,13.0
1540980,1,2,6.5,13.0,13.0
1540984,1,2,6.5,13.0,13.0
1542139,1,2,6.5,13.0,13.0
1542141,1,2,6.5,13.0,13.0
1542383,1,2,6.5,13.0,13.0
1543178,1,2,6.5,13.0,13.0
1543180,1,2,6.5,13.0,13.0
1544965,1,2,6.5,13.0,13.0
1544967,1,2,6.5,13.0,13.0
1546530,1,2,6.5,13.0,13.0
1393731,1,2,6.0,12.0,12.0
1393744,1,2,6.0,12.0,12.0
1491633,1,2,6.0,12.0,12.0
1383440,1,1,6.5,6.5,9.75
